Max Stress,Compliance
0.8056,89.764
0.89873,94.102
0.66226,14.241
0.76149,97.201
0.62877,54.899
0.86187,17.399
0.80944,41.233
0.83007,62.91
0.81928,113.54
0.77767,106.24
0.74862,22.572
0.88392,103.21
0.85945,89.616
0.85505,56.381
0.99004,83.3
0.70328,16.314
0.83473,42.751
0.89269,90.534
0.95504,77.138
0.99712,100.94
0.82601,56.872
0.83052,9.9447
0.85126,85.187
0.82759,95.846
0.66628,53.804
0.6396,65.602
0.92251,63.714
0.77723,24.946
0.79235,52.186
0.80815,14.056
0.86952,61.769
0.81734,11.984
0.89505,24.262
0.77017,13.091
0.73376,16.029
1.0254,85.765
0.8254,71.752
0.79823,29.089
1.0439,132.56
0.70053,11.927
0.80528,39.322
0.78998,33.361
0.84615,78.546
0.85185,81.688
0.704,23.395
0.81523,44.568
0.70816,40.585
0.82462,62.799
0.66453,72.114
0.86543,76.544
0.66077,26.945
0.94803,75.985
0.71162,67.101
0.70613,19.158
0.70092,20.148
0.82982,47.924
0.88631,128.89
0.67171,34.999
0.80161,67.328
0.66936,24.209
0.72977,86.328
0.65783,28.638
0.79738,55.403
0.81951,82.839
0.9373,108.03
0.8603,113.23
0.86628,54.699
0.72287,16.166
0.75892,17.575
0.84969,27.655
0.82926,96.574
0.70871,25.659
0.8083,87.791
0.77055,26.977
0.77236,106.6
0.81993,35.386
0.66076,22.205
0.75668,27.984
0.95523,64.551
0.80443,46.086
0.64258,35.077
0.821,89.73
1.5373,62.75
0.82859,59.702
0.83277,102.41
0.71075,30.665
0.74809,84.438
0.98342,84.085
0.78738,37.728
0.74598,61.964
0.84235,12.927
0.72203,11.851
0.81129,58.875
0.86657,92.768
0.80993,110.71
0.68398,15.508
0.65426,67.133
0.83244,47.298
0.80857,9.9468
0.67086,37.671
0.64578,20.203
0.84466,87.703
0.77508,35.429
0.90322,67.442
0.73427,19.157
1.0495,78.315
0.71455,27.948
0.84102,74.404
0.85198,82.972
0.81919,84.103
0.87393,51.465
0.77043,14.486
0.78312,24.807
0.8273,112.26
0.68398,18.097
0.84432,94.07
0.91901,66.221
1.0327,139.42
0.71291,14.065
0.65023,58.881
0.72611,15.744
0.87432,118.22
0.80684,10.013
0.74661,86.511
0.86324,91.08
0.85896,101.66
0.6688,15.221
0.81033,46.66
0.82392,30.513
0.74836,88.218
0.82721,51.065
0.80533,110.01
0.76671,22.918
0.98528,31.499
0.67851,18.637
0.79757,18.024
0.78907,102.25
0.87038,73.718
0.89423,69.239
0.7203,20.445
0.94851,96.183
0.86296,74.219
0.64768,38.644
0.68531,62.893
0.81158,46.938
0.70051,14.173
0.7159,30.632
0.79044,16.997
0.63667,24.378
0.80675,31.875
0.88758,55.524
0.71183,12.364
0.8882,110.62
0.80954,115.02
0.90124,61.616
0.68109,65.067
0.65843,39.423
0.82008,99.017
0.63448,46.159
0.83597,15.91
1.2988,86.277
0.84332,52.633
0.67687,30.405
0.63766,51.308
0.78446,14.363
0.73659,18.04
0.77585,107.99
0.81765,112.71
0.73154,73.24
0.75616,12.797
0.74665,32.831
0.79955,47.019
1.2211,90.74
0.7252,10.482
0.73422,12.549
0.74418,25.07
0.74027,76.011
0.86672,84.891
0.85126,81.76
0.9286,60.702
0.66686,68.346
0.63357,40.518
1.04,85.785
0.6571,24.912
0.83636,82.853
0.81253,24.514
0.69954,48.594
0.8391,78.168
0.79627,87.929
0.77548,13.752
0.81798,106.76
0.92079,89.101
0.87451,61.424
0.88687,58.78
0.69096,62.751
0.81331,40.859
0.8603,72.52
0.68796,68.697
0.83623,91.607
0.83522,90.542
0.97784,80.004
0.68948,53.47
0.75454,92.221
0.84534,69.797
0.81706,43.702
0.96927,110.18
0.88811,101.11
0.69865,69.518
0.79532,81.701
0.84992,75.191
0.71433,24.587
0.7536,39.187
0.82217,61.267
0.69164,27.168
0.77432,95.276
0.70207,23.034
0.6598,26.766
0.90214,20.791
0.6688,28.416
0.79098,58.367
0.67111,40.235
0.87207,104.48
0.8116,56.704
0.79477,21.987
0.96728,102.86
0.85572,126.66
0.85758,57.514
0.73963,15.221
0.66804,32.624
0.68383,55.469
0.7409,79.629
0.75014,33.162
0.72723,77.716
0.83437,83.049
0.81074,24.357
0.77668,16.086
0.76463,36.168
0.7613,39.107
0.88778,53.696
0.67791,64.958
0.67704,13.552
0.73341,30.621
0.99818,90.437
0.72629,10.771
0.78559,103.6
1.2357,85.229
0.68533,60.977
0.82751,72.109
0.7306,28.703
0.71823,56.907
0.8274,121.65
0.87487,62.031
0.90453,65.948
0.7878,25.936
0.76855,59.918
0.83728,76.465
0.9961,83.34
0.84959,47.246
0.67439,48.638
0.83667,123.22
0.75346,11.377
0.79597,96.448
0.86763,99.981
0.93024,86.017
0.77778,15.031
0.76065,29.815
0.67961,40.925
0.83856,79.378
0.64286,16.558
0.82703,83.131
0.72294,15.719
0.69662,76.62
0.86802,59.126
0.99173,87.186
1.0046,82.943
0.79601,100.39
0.8785,97.383
0.78671,38.947
0.83548,81.318
0.66235,14.206
0.75427,11.176
0.91858,84.387
0.92759,62.508
1.2294,56.744
0.85326,103.65
0.90096,77.65
0.90629,73.84
0.962,92.656
0.77659,88.745
0.83163,66.577
0.66457,21.684
0.78326,26.145
0.86869,97.407
1.0341,11.745
0.88067,56.749
0.67753,19.086
0.82686,123.85
0.82003,82.37
0.66904,62.573
0.86756,55.784
0.73509,10.924
0.85194,80.207
0.70856,11.562
0.69552,14.101
0.83849,63.479
0.8093,14.026
1.0269,90.242
0.80933,88.498
0.86216,80.42
0.63411,18.418
0.90447,77.262
0.87469,51.775
0.84509,123.68
0.70873,75.497
0.83177,83.937
0.99876,44.217
0.85076,47.191
0.79632,92.026
0.72321,13.092
0.74916,19.157
0.77336,18.846
0.6859,44.916
0.80976,85.313
0.9432,88.134
0.73815,12.846
0.73836,49.686
0.70112,59.216
0.85557,50.777
0.88114,76.583
0.83313,76.714
0.65308,31.528
0.79764,46.813
0.72669,9.6916
0.88358,120.5
0.71712,19.458
0.6486,16.225
0.63188,41.778
0.74245,22.509
0.65212,56.937
0.78925,37.668
0.76732,97.681
0.79386,108.1
0.72444,12.316
0.73174,84.053
0.67555,29.845
0.7798,46.992
0.88289,65.587
0.85792,106.76
0.66714,45.629
0.87546,125.55
0.70048,31.602
0.84053,85.258
0.95461,81.704
0.6452,55.645
0.91024,79.819
0.82625,76.433
0.81831,20.247
0.69914,17.666
0.84487,134.15
0.66937,19.781
0.73438,10.328
0.93283,64.742
0.82601,97.118
0.85225,70.827
0.74762,21.098
0.7148,39.011
0.68973,53.625
1.4924,123.47
0.62869,16.337
0.77205,100.12
0.89163,78.119
0.78137,40.715
0.78379,21.143
0.64166,45.61
0.90752,57.371
0.75941,17.837
0.95201,70.055
0.7531,27.884
0.84514,36.697
0.84687,71.497
0.78857,26.105
0.81362,30.254
0.83046,71.04
0.79639,27.584
0.74441,91.315
0.83388,122.15
0.87433,83.93
0.77355,35.837
0.71878,69.723
0.72504,15.841
0.80199,100.92
0.8683,95.511
0.87813,99.527
0.7911,27.015
0.82681,69.423
0.83554,10.431
0.65661,45.463
0.64323,32.618
0.7591,20.22
0.65993,18.759
0.84235,46.108
0.73008,14.665
0.74746,73.572
0.82048,52.386
0.76732,83.979
0.71288,83.579
0.84865,76.712
0.79434,11.527
0.72678,14.255
0.62385,33.094
0.82479,60.436
1.3537,79.362
0.76379,43.253
0.74241,89.951
0.8346,91.406
0.89762,118.75
0.82266,59.335
0.67432,32.713
0.67565,16.701
0.91303,72.131
0.81085,87.188
0.78816,41
0.71102,14.32
0.68188,27.479
0.68505,17.967
0.63039,30.399
0.86071,50.331
0.84902,64.61
0.85268,52.569
0.76227,100.02
0.70318,59.307
0.79453,110.89
0.84611,71.213
0.89227,109.31
0.68244,25.472
1.2984,85.55
0.79159,31.272
0.84749,78.742
0.75786,84.328
0.9523,12.139
0.78114,27.512
0.7065,23.436
0.99755,81.339
1.014,92.973
0.68551,37.217
0.81157,89.784
0.85101,78.694
0.78037,10.447
0.7924,68.654
0.66962,41.461
0.75964,92.949
0.81779,9.7862
0.84469,50.874
0.74612,46.318
0.85459,50.164
0.97833,88.525
0.77635,33.352
0.94113,87.535
0.7362,53.159
0.75594,11.593
0.79497,22.774
0.92285,83.51
0.87069,50.832
0.70076,18.454
0.80646,36.749
1.0392,68.384
0.77305,22.09
0.93486,84.424
0.62445,24.395
0.85642,105.18
0.63088,29.372
0.91572,87.589
0.773,21
0.79078,30.156
0.70677,14.271
0.74218,70.931
0.84467,80.785
0.83724,72.537
0.8419,47.35
0.83439,76.658
0.77891,76.094
0.74421,77.012
0.84225,74.932
0.81409,107.05
0.7348,22.665
0.73219,84.085
0.78267,25.568
0.69698,16.153
0.74064,68.242
0.65928,50.764
0.8445,48.958
0.88813,78.93
0.84436,86.807
0.78543,39.246
0.69071,77.295
0.84295,45.036
0.80465,92.783
0.82954,91.733
0.71981,27.4
0.67451,73.513
0.8213,66.154
0.86449,59.903
0.77002,93.856
0.67407,29.601
0.81358,33.969
0.63687,16.534
0.75587,96.65
0.82804,73.481
0.72331,54.577
0.71656,81.543
0.7123,61.263
0.85553,75.534
0.93766,64.123
0.73941,83.736
0.85004,56.47
0.88001,135.41
0.66998,23.263
0.72143,14.71
0.68469,14.589
0.71847,12.458
0.81402,45.609
1.214,56.911
0.80522,37.866
0.86696,87.706
0.85061,73.229
0.83131,86.55
0.85001,108.33
1.2374,114.64
0.80507,19.905
0.72096,18.509
0.84399,79.736
0.71871,13.764
0.8135,58.116
0.82305,60.067
0.80365,96.474
0.73431,54.272
0.63026,42.033
0.72443,79.997
0.81683,85.472
0.9041,58.566
0.79717,36.52
0.6784,16.576
1.3291,72.091
0.7662,29.326
0.72999,11.181
0.768,88.129
0.68451,25.915
1.3049,56.034
0.74778,81.365
0.72828,34.648
0.87049,85.555
0.76642,42.242
0.88558,80.837
0.85425,87.734
0.67751,51.051
0.72292,10.526
0.79516,32.807
0.83346,45.867
0.69153,29.261
0.67658,22.004
0.75515,93.26
0.8368,45.532
0.81476,105.29
0.78655,42.585
0.81226,88.425
0.81429,41.887
0.8051,95.857
1.001,86.743
0.81964,36.218
1.0716,25.386
0.85334,87.284
0.79914,114.44
0.69999,33.92
0.7902,80.238
0.83282,47.253
0.80683,94.434
0.83332,87.101
0.72837,18.498
0.857,96.924
0.84352,126.97
0.82055,58.88
0.76896,100.13
0.83882,67.775
0.77254,17.215
0.64246,20.966
0.80397,45.476
0.81865,85.405
0.93025,92.793
0.72916,84.734
0.70529,29.121
0.85763,61.632
0.67029,13.572
0.78364,15.333
0.75718,18.291
1.4275,83.189
0.8868,56.387
0.67669,20.503
0.828,56.501
0.74258,17.773
0.73355,12
0.86973,96.172
0.93059,65.546
0.84387,105.79
0.82003,81.798
0.90276,67.959
0.78355,92.537
0.76613,98.453
0.86149,132.52
0.81094,9.6877
0.77495,97.986
0.87263,67.849
0.88097,130.64
0.92215,62.325
0.84634,53.78
0.79303,89.444
0.62631,23.953
0.8415,53.932
0.94526,103.42
0.72846,66.633
0.80459,94.388
0.84786,84.966
0.86514,67.446
0.73976,24.507
0.8266,77.281
0.73777,13.431
0.8779,73.263
0.73589,78.976
1.0256,83.474
0.78474,103.64
0.90883,123.2
0.76972,85.998
0.83204,66.799
0.87146,106.87
1.534,66.588
0.72494,10.233
0.71695,15.606
0.84938,95.877
0.71768,51.104
0.97642,93.778
0.89923,21.986
0.69598,63
1.0028,68.955
0.78452,11.473
0.92252,71.373
0.68542,36.269
0.72702,12.388
0.865,54.441
0.82029,20.137
0.72502,14.257
0.81514,22.206
0.66976,16.624
0.72035,20.38
0.70431,11.546
0.86804,72.167
0.78188,30.528
0.8192,62.287
0.7286,81.071
0.84636,55.79
0.89822,61.715
0.84784,48.755
0.65108,16.909
0.86532,53.073
0.75996,95.002
0.84551,98.089
