Position,Angle,Filter Size
22,2.7842,1.2231
36,2.2977,1.9286
14,1.4681,2.3256
49,2.6566,1.1403
53,3.1161,1.3223
59,0.94563,1.1602
29,1.053,1.6689
39,1.3885,1.7171
54,2.1235,1.726
39,2.1799,1.4939
54,1.2357,1.5244
51,1.7973,1.8594
53,1.6493,2.0796
8,2.2463,2.4516
3,1.6121,1.3117
9,0.2758,1.9572
11,0.87198,1.1699
13,1.9285,2.1434
14,2.4855,1.6559
34,2.6182,1.6189
54,0.22961,2.4498
56,0.94388,1.2034
5,1.5852,2.1864
26,2.8325,2.4522
37,2.9311,1.9104
55,3.0786,2.0461
9,1.1212,2.1729
9,0.53648,1.8513
20,2.0233,1.9704
48,0.78559,1.2655
19,1.2696,1.2655
40,0.93874,2.4476
56,0.55611,1.261
24,1.1352,2.1085
55,0.46236,1.9585
10,2.7775,1.8907
50,0.062702,1.1805
15,0.70144,2.1786
59,2.107,1.1222
27,0.31257,1.8809
50,0.41739,2.078
25,0.89208,2.1914
32,2.1591,1.7684
19,1.547,2.3751
42,1.3658,1.6534
43,1.1774,2.4335
58,1.4052,2.1126
31,1.3791,1.1295
55,3.0103,1.3579
30,2.1858,1.3884
7,2.8851,2.0076
2,0.37271,2.1243
23,2.5684,1.7363
36,1.3584,1.2831
53,0.93509,2.3574
30,0.4151,1.3626
55,2.1362,1.8793
28,1.6907,2.1633
34,2.0055,1.2296
3,2.886,2.4624
39,2.6078,1.6771
24,1.6538,1.8407
53,1.3589,1.1626
22,3.0573,1.42
42,2.4081,1.9797
46,2.6672,2.005
23,1.1835,1.6737
45,0.81408,2.4938
23,0.59715,2.0371
54,0.53554,1.9978
37,1.853,1.4379
10,1.7861,1.3179
13,1.7281,2.0859
22,0.81691,1.8455
41,2.2814,1.3904
11,0.75622,1.2156
30,1.4754,2.123
33,0.8957,2.2175
2,2.4755,1.6322
12,2.0659,1.5332
42,1.5242,1.9351
30,2.9495,1.597
0,0.71892,1.5323
20,2.1249,1.5664
37,1.9443,1.9852
16,1.7902,1.5156
7,1.897,1.5131
2,0.11091,2.1472
31,1.0222,1.6739
38,1.8707,1.5946
58,1.0181,1.8427
55,0.80357,2.3315
54,0.19674,1.6365
50,3.016,1.7817
57,2.7274,1.6796
27,0.21071,2.3457
49,2.9832,2.4527
35,1.1698,2.264
46,0.96203,1.3296
19,2.8773,1.6188
14,1.6269,1.7688
30,3.0314,2.3277
1,2.6656,1.2577
15,1.2635,2.3482
44,1.2728,1.9419
1,2.0281,1.471
55,0.27377,1.1802
46,0.054623,1.7838
5,1.5966,1.473
24,3.0616,1.8576
15,1.0333,1.8873
46,1.1623,1.1602
30,0.75002,1.3129
44,2.5844,1.875
1,0.050225,1.6774
42,2.9341,1.4234
8,0.40082,1.4907
59,2.4481,2.0269
14,1.3247,2.2895
45,3.0019,2.4646
13,0.36839,1.2121
51,2.0357,1.4964
50,0.99155,1.2273
15,1.9706,1.1768
42,2.1482,1.2448
52,2.906,1.1651
21,0.14944,1.5026
1,2.5225,2.4774
5,0.57843,1.2195
25,2.3058,2.0829
35,1.237,1.4805
44,2.4967,1.2986
20,0.90863,1.5725
58,0.45968,1.2898
28,1.4337,1.4128
42,0.76716,2.296
31,2.0486,2.3126
12,0.18907,1.5259
16,2.3182,1.6518
2,1.7697,1.9153
32,2.4494,1.9066
15,1.4115,1.771
31,3.0222,1.7859
31,2.7623,2.409
44,0.35099,1.6695
31,0.28207,1.7998
47,1.0571,1.1781
36,0.84108,2.0107
19,3.0749,1.3214
15,0.74296,2.1146
8,0.56406,1.1368
21,0.36524,1.4116
52,2.8233,1.9301
50,2.3327,1.167
14,0.39592,1.5914
35,2.8018,2.4892
49,0.092133,2.2341
33,1.919,2.0207
50,1.5451,2.2222
52,0.71001,1.2642
59,3.0099,2.1164
2,0.80336,2.3955
45,0.14653,1.5887
47,3.0789,1.4107
24,1.082,2.2954
14,1.1428,2.0661
41,2.2147,1.4363
47,2.4595,2.2069
17,2.3754,1.5771
38,1.1889,1.9944
41,1.0336,1.7901
46,0.33031,1.2875
1,1.7619,2.3859
35,0.51479,1.1458
35,0.62623,1.5707
56,1.2515,1.9023
48,1.8537,1.94
7,1.9765,1.9789
6,0.065745,1.6893
2,2.3926,2.462
49,2.9469,1.3939
42,1.5956,1.4001
2,2.8828,2.1891
33,0.092728,1.6499
36,3.1021,2.1718
44,0.63803,1.5865
5,2.5372,1.8631
12,0.054398,1.2619
16,2.9002,1.6528
32,0.97083,1.3273
40,2.6361,1.7417
7,1.8413,2.2362
12,2.2735,1.7029
10,2.2815,1.2655
35,2.7967,1.3491
21,0.95643,1.9039
22,0.14476,2.1209
39,2.8067,1.8961
40,2.9543,1.3654
34,2.9842,2.1693
14,2.5492,1.5454
17,2.6576,2.4068
45,2.6645,2.0286
26,2.155,1.5313
26,0.51544,1.4418
42,2.5178,1.8461
42,2.2596,1.9506
39,2.7734,1.1077
15,2.1481,1.1117
31,1.4956,2.3448
4,1.1577,1.1236
8,0.84735,2.0655
48,0.18777,1.997
44,1.4009,1.6635
25,2.0325,1.6135
45,0.24968,1.6233
36,1.4812,2.0335
56,0.6153,2.0305
40,1.4604,1.9454
28,1.9917,1.2758
54,1.4547,1.2458
47,1.8573,1.6486
20,2.0804,1.9884
36,0.74752,2.0429
36,2.5088,1.9093
52,2.5269,2.4147
24,0.32499,1.2254
38,1.2516,1.6387
26,1.6823,2.2885
31,2.8269,1.6798
23,2.3698,1.1871
10,0.89782,2.0149
50,1.8234,2.3117
34,3.0929,2.0754
48,0.62738,2.3774
30,0.93126,1.6761
35,1.0455,1.3129
57,1.1958,1.6825
8,0.63064,1.872
41,2.8736,1.8076
13,0.19517,1.713
39,0.98179,2.2725
22,2.6239,1.7775
43,0.49313,2.1813
47,2.5688,1.6823
1,1.745,1.3119
35,2.8247,1.6021
36,0.066799,1.2817
57,1.0834,1.509
7,2.4396,1.3291
49,2.3232,2.2053
17,1.2572,1.1753
6,2.4122,2.3307
23,0.77244,1.3392
32,1.9384,1.6388
55,1.5351,1.6433
59,1.5789,1.7823
59,1.2854,1.5172
29,2.8776,1.8367
55,2.4755,1.3475
32,1.1919,2.1951
31,1.9594,1.2899
57,1.7452,1.3914
26,2.3948,1.6731
50,1.1389,1.1713
4,1.9374,1.2419
9,2.7062,2.4276
39,1.5744,1.8545
16,1.5235,1.1219
5,2.032,2.3952
34,1.3038,1.575
43,2.8082,2.4053
24,0.32274,1.7412
6,2.8146,2.4222
2,3.0107,1.2132
35,2.0347,1.2062
49,1.7245,2.3859
1,2.6195,1.7076
42,3.0976,1.3479
12,1.468,2.4582
30,1.1883,1.9201
3,1.828,1.5091
4,0.57585,2.0505
1,0.8397,1.9052
40,2.8198,2.3555
18,2.3839,2.3368
4,0.28606,1.2747
26,2.5191,2.1738
17,1.8718,1.4752
41,1.4365,1.6282
30,1.4648,2.2807
9,0.56242,1.8746
46,2.9595,2.255
60,0.75531,1.9922
20,0.40157,1.7835
31,0.17687,2.3944
54,2.3937,1.1495
16,3.0965,1.5533
43,2.9251,1.7889
30,0.34679,2.4972
55,0.58261,1.7732
4,0.080902,1.2897
25,0.37614,1.866
12,1.3841,1.2133
47,1.4039,2.1804
30,0.99402,2.1654
18,2.7693,1.9843
20,2.9399,1.7935
34,2.1688,1.2432
18,1.5438,1.2294
6,0.22262,2.0565
7,0.93381,1.2831
58,2.1277,1.7577
31,2.6113,2.2365
55,1.6202,1.1097
58,0.33597,2.0601
16,0.5957,1.6521
30,2.8416,1.2226
23,0.45075,1.8049
16,1.0694,2.0631
56,1.1598,1.3331
19,2.7812,1.6059
44,2.0281,1.5001
24,2.4625,2.1317
32,1.2485,1.6325
28,1.8673,2.3852
23,2.6622,1.5813
27,1.1546,2.2098
12,0.16918,2.2248
31,1.5236,2.1978
40,1.4978,2.2845
14,2.0451,1.6407
55,0.72877,2.2901
52,2.6714,2.124
47,0.32817,1.7143
17,0.082371,2.2347
45,0.021306,2.1704
52,1.2555,1.3532
47,3.0199,1.2485
27,0.98009,1.8178
57,2.8468,1.6164
41,2.1784,1.3781
43,0.44546,2.1572
35,2.5861,2.3427
22,1.6981,1.7248
18,1.987,1.9032
14,2.2987,1.7839
46,2.7765,1.4771
40,1.6764,1.4538
54,2.5687,1.7165
53,0.21186,1.3754
39,1.6494,1.7388
2,0.25468,2.4021
52,1.6216,1.639
26,2.3146,1.2801
42,0.0060383,1.1346
50,0.65537,1.4543
37,0.26811,2.4407
57,2.3293,1.6378
28,1.4538,1.996
51,0.56862,1.3333
6,0.47933,1.7798
34,2.836,1.9711
36,0.11607,2.2918
12,1.0627,1.1045
24,1.7989,2.0029
42,1.73,1.5575
