Max Stress,Compliance
0.78999,53.046
0.67055,16.425
0.68148,69.078
0.68472,9.7632
0.77932,48.793
0.81931,28.434
0.68082,25.689
0.67195,6.1311
0.62584,6.0943
0.90828,36.152
0.6641,13.739
0.70043,64.111
0.61081,30.16
0.67543,66.475
0.7743,53.696
0.77291,41.973
0.68175,6.594
0.64276,67.046
0.71853,9.1795
0.69223,65.94
0.68899,8.5229
0.67653,26.312
0.67942,6.1723
0.5484,46.349
0.67435,7.5123
0.65198,6.018
0.72155,60.428
0.83365,29.032
0.76649,53.358
0.86153,25.073
0.54414,48.949
0.63723,6.0396
0.66503,64.143
0.61134,61.605
0.74038,59.809
0.71291,64.332
0.74283,31.264
0.69693,49.665
0.73501,45.248
0.7684,37.354
0.74602,15.113
0.72828,14.528
0.55603,45.274
0.77728,12.31
0.73007,63.515
0.68286,66.703
0.63792,6.093
0.8024,46.686
0.6522,6.4342
0.72103,63.116
0.72316,64.723
0.66653,6.1476
0.67434,65.276
0.6246,6.0624
0.54979,49.15
0.59344,59.448
0.73672,36.681
0.76531,58.111
0.64675,64.401
0.78231,44.001
0.6561,7.9315
0.70984,11.569
0.76594,10.005
0.62413,5.9852
0.67477,8.0603
0.78942,44.355
0.65871,65.84
0.74555,20.711
0.82199,28.836
0.67122,67.46
0.76815,65.479
0.77924,49.052
0.66135,67.662
0.80102,53.822
0.73637,16.65
0.78851,48.356
0.66409,16.273
0.79685,17.943
0.78324,51.339
0.68878,42.247
0.87875,33.289
0.56522,45.839
0.74232,60.172
0.78187,43.179
0.70436,41.463
0.77811,43.443
0.67887,27.08
0.70044,6.241
0.7838,54.352
0.66658,69.469
0.72954,17.548
0.71873,66.909
0.77554,18.945
0.68513,64.414
0.88301,29.604
0.82063,22.51
0.66022,10.317
0.69248,6.7741
0.66993,16.658
0.73228,59.138
0.7034,60.817
0.57131,54.382
0.62515,6.0101
0.63138,63.628
0.7956,62.014
0.72479,61.345
0.64243,6.0212
0.85045,24.574
0.7689,51.237
0.74584,58.556
0.77031,11.166
0.73647,14.48
0.77073,50.713
0.73337,33.815
0.54416,45.784
0.68148,10.016
0.73994,8.6806
0.7551,61.302
0.56968,53.612
0.65425,65.453
0.70026,6.6875
0.7191,10.012
0.70294,6.6266
0.92536,36.576
0.76946,10.199
0.62995,63.326
0.69637,6.5858
0.63449,6.1088
0.7713,43.188
0.77402,58.29
0.80091,18.607
0.65547,9.9418
0.74401,21.814
0.72822,12.424
0.59787,33.099
0.69971,64.811
0.80744,48.126
0.67594,6.332
0.82948,23.534
0.62496,6.1113
0.7718,31.177
0.87427,27.8
0.69537,69.091
0.75344,61.562
0.60877,31.072
0.65722,65.005
0.66384,7.5909
0.67355,23.394
0.67182,65.572
0.67834,64.933
0.78898,52.031
0.56477,52.605
0.74619,20.436
0.65523,66.411
0.68625,7.6057
0.75844,58.901
0.78529,49.811
0.61155,62.631
0.81831,23.302
0.70771,55.56
0.69873,60.047
0.79765,17.857
0.69776,43.006
0.67054,67.228
0.73206,32.719
0.73491,19.525
0.811,45.513
0.8007,19.407
0.56879,54.34
0.683,26.379
0.90344,35.749
0.78193,52.269
0.66662,67.399
0.78816,17.001
0.63609,62.24
