r_ref,a,b,m,n1,n2,n3
0.00254,4.500637,1.936542,14,6.219342,5.154977,5.365944
0.00254,1.146595,2.305083,9,13.450815,5.352944,4.694039
0.00254,0.587972,1.912053,11,5.58077,13.663535,7.385291
0.00254,3.536968,10.721915,12,4.067492,12.66199,3.984732
0.00254,1.645316,3.157798,10,1.572695,5.92498,5.217873
0.00254,2.998775,4.417621,12,3.58808,10.160375,13.234801
0.00254,3.347976,1.962701,16,6.421122,6.790448,6.732489
0.00254,2.905517,3.357932,16,5.807201,7.984854,12.879082
0.00254,5.445533,2.041835,2,7.02868,8.900303,11.675525
0.00254,3.279287,2.270007,11,11.976421,4.356975,5.766129
0.00254,1.679951,4.204088,2,2.897457,3.737621,4.725496
0.00254,1.658966,5.828723,7,12.848564,9.556023,1.801221
0.00254,1.572992,2.030007,13,2.829814,8.073386,7.548584
0.00254,1.730613,5.030142,10,4.900042,8.783232,3.198527
0.00254,5.421806,2.027485,2,2.334315,6.724381,6.019377
0.00254,0.94289,3.576966,4,6.368077,1.535938,2.606519
0.00254,14.574176,5.45659,7,6.929849,0.625986,6.83237
0.00254,3.640001,4.453967,9,5.0157,4.991967,3.034529
0.00254,1.345075,3.635805,12,10.732334,4.569454,4.113875
0.00254,7.203839,4.043796,4,3.314876,2.292685,5.196097
0.00254,1.852872,2.674043,7,1.389159,9.035091,4.806953
0.00254,3.082616,1.772882,16,4.383663,6.525189,3.875133
0.00254,2.407891,1.353789,2,7.312261,3.360354,16.714659
0.00254,1.159749,2.34113,12,7.624014,2.168263,3.332722
0.00254,2.336073,2.96122,14,1.890364,5.238579,2.458181
0.00254,2.609069,4.278556,4,4.278402,4.168323,8.373924
0.00254,0.966552,0.260237,14,8.538362,6.844409,3.125602
0.00254,1.43276,8.200501,3,8.000213,5.768195,1.479038
0.00254,1.920495,1.771271,14,7.402453,12.611202,4.521632
0.00254,2.615219,4.782066,6,12.102208,6.298607,3.542178
0.00254,2.273091,3.0076,14,8.869612,5.196807,4.797656
0.00254,4.818445,0.307585,3,2.309426,6.829935,9.027128
0.00254,2.501729,2.242052,9,2.308826,3.308934,4.470575
0.00254,2.186752,0.768324,4,6.638525,2.38889,7.06579
0.00254,1.272697,7.229811,2,2.78899,5.770818,4.123795
0.00254,0.261158,1.307508,4,6.369433,6.529873,5.375178
0.00254,6.867367,5.959093,4,8.071883,3.524504,9.509615
0.00254,1.139667,4.986421,3,2.167317,2.060607,1.920391
0.00254,3.137995,2.039184,3,5.490054,2.204859,0.755747
0.00254,2.133847,1.352907,6,7.061633,1.318125,4.053279
0.00254,0.842523,0.887328,12,2.150478,2.903088,4.788889
0.00254,3.209071,1.009734,9,10.559663,3.590096,5.581622
0.00254,2.595376,1.825716,2,5.105377,7.998925,6.460457
0.00254,5.785461,9.551897,16,9.36247,3.240567,6.237292
0.00254,2.653209,1.782208,9,11.752156,3.169704,5.077955
0.00254,1.351007,3.731066,16,6.423199,6.467337,3.205744
0.00254,2.379791,2.884996,11,5.952509,6.419028,4.078144
0.00254,6.012604,1.274737,9,8.968683,2.714348,6.380309
0.00254,2.902548,1.479257,2,10.225967,4.04609,2.178275
0.00254,1.200056,2.542924,8,7.654028,8.521616,2.953598
0.00254,7.003696,2.824534,6,11.075008,6.006502,5.273227
0.00254,2.792027,0.748862,3,8.635515,4.236746,11.499427
0.00254,11.760251,1.357128,16,5.552596,2.82365,3.632297
0.00254,2.273117,3.745287,13,4.805907,4.366488,4.051644
0.00254,3.507548,0.886925,13,4.324676,3.918226,8.277649
0.00254,2.121098,8.584218,6,5.607239,8.857556,2.427752
0.00254,0.782126,0.624469,8,4.779967,8.263139,3.526745
0.00254,1.672122,2.094197,10,5.489565,9.408405,11.672771
0.00254,4.551515,1.251062,7,5.455943,4.170795,3.388819
0.00254,0.496885,0.217972,11,7.046335,9.652803,3.987691
0.00254,1.646769,2.465487,11,10.340596,1.301175,2.380575
0.00254,0.246471,0.485392,9,7.016458,0.942748,8.092259
0.00254,0.989851,3.024471,2,3.644078,7.745991,2.52357
0.00254,1.626669,2.455191,4,2.992402,0.858075,4.501907
0.00254,0.780302,1.040565,13,2.526693,5.785135,3.87074
0.00254,2.114656,3.251292,2,8.461817,9.204278,6.465545
0.00254,5.616394,2.660418,4,8.694791,4.369078,5.441433
0.00254,2.534278,1.915374,11,4.854229,3.640381,6.389361
0.00254,2.766361,1.098329,2,6.487525,3.075109,1.49393
0.00254,3.930912,1.293394,7,5.30423,5.34531,6.784478
0.00254,2.710467,6.339105,12,1.827248,3.533204,1.488774
0.00254,0.831866,2.284118,2,3.817611,9.39849,7.172353
0.00254,0.519658,0.167632,2,6.049563,7.5121,3.944084
0.00254,1.094406,0.679804,3,15.087334,2.503171,2.358605
0.00254,2.233328,0.437026,10,12.880608,9.304808,11.756901
0.00254,6.787039,0.696337,9,7.728471,2.185854,3.968944
0.00254,0.870981,1.828196,15,11.621246,10.789534,3.276313
0.00254,1.52523,1.85482,4,5.460255,6.384375,6.9465
0.00254,1.158178,1.639166,15,6.985766,9.00788,8.70508
0.00254,2.233043,3.499762,14,4.930389,3.617384,5.044244
0.00254,4.081918,0.520165,13,6.745798,1.713494,5.503123
0.00254,0.423262,1.888033,14,9.778738,9.80492,8.612182
0.00254,3.392547,0.488811,2,3.485803,1.606705,2.775954
0.00254,0.72791,4.975544,2,2.603126,3.739002,1.793133
0.00254,1.984868,0.747236,9,8.812414,4.851574,5.538982
0.00254,2.012743,0.441474,14,3.443002,3.573381,14.476919
0.00254,1.155985,1.145104,14,7.575094,9.097392,4.655458
