m,n1,n2,n3,a,b,eta,lambda
4.1,2.1844,3.7119,5.4554,1.4495,0.5,25,630.02
4.1,4.4414,1.3059,1.9419,0.71037,0.5,25,630.02
4.1,3.118,4.6181,3.4157,0.44522,0.5,25,630.02
4.1,4.5007,1.6647,2.4664,1.3327,0.5,25,630.02
4.1,2.733,2.6709,4.4464,1.4664,0.5,25,630.02
4.1,1.3106,3.6004,3.4419,0.53955,0.5,25,630.02
4.1,1.6141,4.4424,4.824,0.50666,0.5,25,630.02
4.1,4.1394,3.2699,2.4752,0.75486,0.5,25,630.02
4.1,2.2672,2.5829,3.9773,1.6954,0.5,25,630.02
4.1,2.1896,2.3062,5.5524,1.553,0.5,25,630.02
4.1,1.8956,0.77871,3.2942,1.0859,0.5,25,630.02
4.1,2.3022,4.2961,2.9618,1.0335,0.5,25,630.02
4.1,3.5293,1.0241,1.5836,0.43819,0.5,25,630.02
4.1,3.2518,0.90792,2.3994,1.8185,0.5,25,630.02
4.1,5.792,1.424,3.9634,1.0239,0.5,25,417.08
4.1,2.4486,4.1521,4.4503,1.4737,0.5,25,417.08
4.1,2.849,4.6891,5.6264,0.88069,0.5,25,417.08
4.1,4.4895,1.0399,2.8828,0.69832,0.5,25,417.08
4.1,4.0638,2.6776,3.0232,0.27603,0.5,25,417.08
4.1,3.7248,2.1042,4.2962,1.0233,0.5,25,417.08
4.1,3.61,1.7373,1.2146,0.58576,0.5,25,417.08
4.1,4.8767,4.1412,3.8926,0.86055,0.5,25,417.08
4.1,3.4441,5.2792,2.3201,1.7852,0.5,25,417.08
4.1,4.7208,2.4942,4.6476,1.8715,0.5,25,417.08
4.1,4.1957,4.2004,1.6803,0.37432,0.5,25,417.08
4.1,5.3673,3.5475,4.6192,1.6149,0.5,25,417.08
4.1,3.2832,5.2763,1.1035,1.3186,0.5,25,417.08
4.1,4.6714,5.1628,4.038,1.1401,0.5,25,417.08
4.1,1.1734,1.2001,3.8753,1.7602,0.5,25,417.08
4.1,4.9762,1.6008,0.94495,1.2163,0.5,25,309.46
4.1,5.9124,5.0364,5.0049,1.8287,0.5,25,309.46
4.1,3.8844,5.7275,5.6355,1.0579,0.5,25,309.46
4.1,3.6205,3.1073,5.7307,1.1311,0.5,25,309.46
4.1,4.3222,4.7482,1.5258,0.9168,0.5,25,309.46
4.1,3.3951,1.8266,4.1216,1.3038,0.5,25,309.46
4.1,4.0632,4.7566,4.9564,1.7832,0.5,25,309.46
4.1,5.1796,3.3444,5.695,1.8645,0.5,25,309.46
4.1,5.4529,2.8608,4.0943,1.3909,0.5,25,309.46
4.1,3.3857,3.7539,1.3285,0.3338,0.5,25,309.46
4.1,1.5685,4.5819,2.9573,1.1247,0.5,25,309.46
4.1,1.6607,2.4685,5.6443,1.3927,0.5,25,309.46
4.1,3.4428,1.6905,3.2111,1.1568,0.5,25,309.46
4.1,4.2226,3.4707,5.6241,0.89954,0.5,25,309.46
4.1,4.2429,1.6514,2.4047,0.58482,0.5,25,309.46
4.1,4.2153,2.8878,2.4385,0.39928,0.5,25,338.92
4.1,5.919,2.5184,4.4635,1.2817,0.5,25,338.92
4.1,3.5861,4.9304,4.0889,0.27929,0.5,25,338.92
4.1,3.0467,0.91954,1.6667,0.72603,0.5,25,338.92
4.1,2.6362,1.9922,4.4548,0.70359,0.5,25,338.92
4.1,5.824,1.3635,1.1026,0.7784,0.5,25,338.92
4.1,3.3651,3.8934,1.5539,1.7692,0.5,25,338.92
4.1,1.8488,5.1506,2.6474,0.44006,0.5,25,338.92
4.1,4.2282,2.4631,3.4814,1.3833,0.5,25,338.92
4.1,2.1906,4.3221,2.0559,0.91829,0.5,25,338.92
4.1,4.4966,4.6606,5.5543,1.9484,0.5,25,338.92
4.1,1.373,3.3543,5.333,0.79176,0.5,25,338.92
4.1,4.3518,1.459,4.7768,1.0653,0.5,25,338.92
4.1,4.2855,2.8623,3.7627,0.59414,0.5,25,338.92
4.1,3.5787,5.817,2.8135,0.5575,0.5,25,338.92
4.1,5.1374,3.2483,3.3817,1.6059,0.5,25,338.92
4.1,4.1224,2.9959,2.5113,1.8964,0.5,25,561.57
4.1,5.6696,5.0337,1.4798,1.2638,0.5,25,561.57
4.1,1.1241,5.1397,2.029,1.6069,0.5,25,561.57
4.1,3.0875,1.6271,5.0407,1.2916,0.5,25,561.57
4.1,4.1718,5.0598,3.7115,1.0848,0.5,25,561.57
4.1,5.1366,5.7264,0.93965,1.2111,0.5,25,561.57
4.1,3.4393,4.157,5.1751,1.934,0.5,25,561.57
4.1,5.1697,3.2996,4.3717,1.6314,0.5,25,561.57
4.1,5.8489,2.2753,5.9224,1.3004,0.5,25,561.57
4.1,2.8202,3.4699,5.7266,0.94697,0.5,25,561.57
4.1,1.1423,5.2243,1.9754,1.1195,0.5,25,561.57
4.1,5.9029,2.9509,5.6438,0.43464,0.5,25,561.57
4.1,1.7174,3.9372,3.4585,1.5281,0.5,25,561.57
4.1,1.3276,5.8451,2.4939,1.8943,0.5,25,561.57
4.1,1.6953,2.8786,3.1583,1.0986,0.5,25,561.57
4.1,5.8161,1.1815,5.268,1.7375,0.5,25,561.57
4.1,3.66,5.981,3.8722,0.97142,0.5,25,535.69
4.1,5.6306,3.8832,4.3456,1.7681,0.5,25,535.69
4.1,5.9626,2.4118,5.3338,1.4042,0.5,25,535.69
4.1,0.99931,3.0846,2.911,1.2835,0.5,25,535.69
4.1,1.5583,4.8275,1.394,0.53679,0.5,25,535.69
4.1,3.1079,3.5477,4.5565,1.0218,0.5,25,535.69
4.1,2.9776,0.95901,4.0754,0.50474,0.5,25,535.69
4.1,5.5799,3.0283,1.7836,0.31932,0.5,25,535.69
4.1,1.9089,2.6843,4.1455,0.52837,0.5,25,535.69
4.1,5.4755,4.2478,3.2161,1.1641,0.5,25,535.69
4.1,0.93303,2.4007,3.0424,0.64478,0.5,25,535.69
4.1,4.4396,4.7367,4.6662,0.70334,0.5,25,535.69
4.1,5.4696,3.2491,5.9778,1.0788,0.5,25,535.69
4.1,2.2549,4.1713,2.5133,0.91326,0.5,25,535.69
4.1,3.2282,4.2924,5.5487,1.4287,0.5,25,535.69
4.1,3.2281,0.79869,4.7573,1.9395,0.5,25,398.87
4.1,2.7314,5.4923,4.3775,1.9558,0.5,25,398.87
4.1,5.1429,4.8429,5.8529,1.129,0.5,25,398.87
4.1,1.2931,2.4423,1.3197,1.707,0.5,25,398.87
4.1,5.9494,1.5832,0.75779,1.4879,0.5,25,398.87
4.1,5.0705,2.232,2.6043,1.0254,0.5,25,398.87
4.1,2.1843,0.88082,3.4609,1.6472,0.5,25,398.87
4.1,2.6847,4.5868,5.0433,1.2447,0.5,25,398.87
4.1,4.4691,4.3587,5.4336,1.09,0.5,25,398.87
4.1,3.9061,3.5626,5.114,1.1212,0.5,25,398.87
4.1,1.4098,4.8905,1.6259,1.6897,0.5,25,398.87
