max_field,avg_field,scattering,extinction,absorption
10.046,2.8439,6.0983e-16,1.8886e-15,1.2787e-15
3.7546,1.6197,1.1005e-17,6.935e-17,5.8345e-17
2.6426,1.3778,3.146e-19,6.2325e-18,5.9179e-18
4.4631,1.7299,2.5228e-17,1.2208e-16,9.6847e-17
6.5802,2.1248,1.1064e-16,4.2254e-16,3.119e-16
3.0356,1.2932,2.8392e-20,1.542e-18,1.5136e-18
3.729,1.2323,1.9668e-20,1.3807e-18,1.361e-18
3.1736,1.5977,7.5135e-18,5.453e-17,4.7017e-17
8.7765,2.5319,3.6768e-16,1.1148e-15,7.4713e-16
7.5716,2.4244,2.1653e-16,8.256e-16,6.0907e-16
4.8774,1.7865,1.715e-17,1.1285e-16,9.5699e-17
4.7512,1.7831,2.2162e-17,1.2377e-16,1.0161e-16
3.5706,1.5635,5.8473e-18,4.609e-17,4.0243e-17
5.2233,1.7833,3.0169e-17,1.4259e-16,1.1242e-16
4.5697,1.9859,1.2916e-16,2.8595e-16,1.5679e-16
18.344,6.2628,1.3352e-14,2.2461e-14,9.1087e-15
5.9626,2.0626,6.6239e-17,2.1755e-16,1.5131e-16
4.1599,1.8733,7.9133e-17,1.9051e-16,1.1138e-16
2.3163,1.4993,4.1153e-18,1.9495e-17,1.538e-17
5.3353,2.1204,1.3975e-16,3.3324e-16,1.9349e-16
3.795,1.6805,3.672e-17,9.8578e-17,6.1857e-17
4.1757,1.8937,7.7229e-17,1.9084e-16,1.1361e-16
36.635,6.1956,2.488e-14,3.7007e-14,1.2127e-14
7.8919,2.7395,7.8259e-16,1.4441e-15,6.6146e-16
2.2875,1.451,4.6612e-18,1.9907e-17,1.5245e-17
7.4481,2.6289,6.9762e-16,1.2767e-15,5.7911e-16
16.966,2.3023,5.8606e-16,1.0549e-15,4.6886e-16
6.1299,2.2552,2.811e-16,5.7165e-16,2.9055e-16
17.58,7.6352,1.072e-14,2.3063e-14,1.2343e-14
8.6293,2.2788,6.4943e-16,9.6988e-16,3.2046e-16
18.202,6.1919,2.344e-14,3.1713e-14,8.2734e-15
12.603,4.1013,2.3598e-15,3.9479e-15,1.5881e-15
11.171,4.3499,2.5829e-15,4.3914e-15,1.8085e-15
4.7555,2.1886,3.9948e-16,6.305e-16,2.3102e-16
9.3367,3.7994,2.1642e-15,3.4719e-15,1.3078e-15
10.96,4.1701,1.755e-14,2.341e-14,5.8594e-15
17.192,6.2721,1.6235e-14,2.3076e-14,6.8413e-15
8.7482,3.3503,2.1217e-15,3.158e-15,1.0363e-15
2.2833,1.4705,9.2412e-18,2.5995e-17,1.6754e-17
17.299,7.5011,1.4362e-14,2.3094e-14,8.732e-15
12.181,3.8286,4.6867e-15,8.8255e-15,4.1388e-15
7.239,2.9961,1.0521e-15,1.6924e-15,6.4036e-16
7.5742,2.9097,6.1419e-16,1.1137e-15,4.9953e-16
4.228,2.0868,2.1583e-16,3.787e-16,1.6287e-16
2.7305,1.6562,2.6288e-17,6.6501e-17,4.0213e-17
6.771,2.6376,7.4345e-16,1.219e-15,4.7556e-16
2.7348,1.3707,9.7622e-19,5.9424e-18,4.9661e-18
5.9597,2.0288,1.7878e-16,3.3664e-16,1.5786e-16
5.1884,2.2548,1.1465e-16,2.846e-16,1.6995e-16
5.0118,1.9911,2.5707e-16,4.3107e-16,1.74e-16
45.514,5.187,1.5449e-14,2.1917e-14,6.4683e-15
3.1015,1.3228,5.704e-19,4.7108e-18,4.1404e-18
7.5596,2.9255,1.1434e-15,1.8354e-15,6.92e-16
4.3954,2.1036,1.5098e-16,3.0531e-16,1.5432e-16
16.809,5.7148,2.6713e-14,3.6886e-14,1.0173e-14
7.6878,2.7612,5.2194e-17,2.7181e-16,2.1961e-16
6.3983,2.6112,4.9274e-16,8.9275e-16,4.0001e-16
3.8469,1.9152,7.79e-17,1.7197e-16,9.4069e-17
3.2789,1.5896,1.4052e-17,4.2582e-17,2.853e-17
9.0934,3.2263,2.1021e-15,3.1686e-15,1.0665e-15
8.402,2.137,2.1035e-16,5.317e-16,3.2135e-16
6.6454,1.7762,5.8907e-17,1.838e-16,1.2489e-16
9.7067,1.7424,3.031e-14,4.1887e-14,1.1577e-14
5.47,1.9717,5.8807e-17,2.2876e-16,1.6995e-16
5.0899,1.85,4.8984e-17,1.7498e-16,1.26e-16
9.3508,1.7299,5.244e-17,1.6715e-16,1.1471e-16
13.164,3.6676,2.7884e-15,5.6072e-15,2.8188e-15
6.36,2.0466,1.2862e-16,3.6595e-16,2.3733e-16
5.037,1.8695,5.0964e-17,1.8412e-16,1.3315e-16
5.2519,1.8332,2.6121e-17,1.357e-16,1.0958e-16
