m,n1,n2,n3,a,b,eta,lambda
5.833,3.4,2.357,4.25,1.8641,0.69146,25,661.38
6.1868,3.4,4.6037,4.25,1.1255,0.70013,25,661.38
1.7896,3.4,5.5499,4.25,1.2944,0.73095,25,661.38
7.2596,3.4,3.3445,4.25,1.7244,0.67408,25,661.38
6.8725,3.4,2.3859,4.25,1.3426,1.2537,25,661.38
5.0155,3.4,3.9328,4.25,1.6667,1.9559,25,661.38
1.2866,3.4,5.0624,4.25,0.70244,1.7514,25,661.38
1.8272,3.4,4.6008,4.25,1.8425,0.59609,25,661.38
3.9983,3.4,3.5273,4.25,0.83029,0.94588,25,661.38
7.5423,3.4,3.8856,4.25,1.5039,1.9262,25,661.38
4.4155,3.4,1.6854,4.25,1.7666,1.1792,25,661.38
5.1357,3.4,4.2636,4.25,0.9903,1.9547,25,661.38
4.2576,3.4,4.4381,4.25,0.83057,0.48996,25,661.38
1.1868,3.4,4.303,4.25,0.54064,0.88039,25,661.38
3.1642,3.4,3.8283,4.25,0.54881,1.6152,25,661.38
5.5053,3.4,2.1809,4.25,1.1557,1.4666,25,661.38
5.5326,3.4,1.7555,4.25,0.61288,1.6437,25,730.99
3.1229,3.4,1.1971,4.25,0.28745,1.48,25,730.99
4.926,3.4,3.6274,4.25,0.87529,1.1951,25,730.99
1.6051,3.4,1.889,4.25,0.49332,1.0964,25,730.99
7.6778,3.4,4.285,4.25,1.3804,0.68119,25,730.99
7.8799,3.4,1.7327,4.25,0.48964,0.36829,25,730.99
7.8878,3.4,3.9384,4.25,1.5619,0.39135,25,730.99
5.1449,3.4,2.8209,4.25,1.2888,0.83547,25,730.99
3.0232,3.4,4.932,4.25,1.865,0.39689,25,730.99
5.3669,3.4,3.687,4.25,1.3747,1.1504,25,730.99
5.2613,3.4,2.0807,4.25,1.4287,1.6046,25,730.99
7.6093,3.4,4.162,4.25,0.93747,1.0228,25,730.99
7.6122,3.4,4.6717,4.25,0.30456,1.8863,25,730.99
5.9328,3.4,5.2333,4.25,1.1073,1.6975,25,730.99
5.2121,3.4,1.1852,4.25,1.946,1.0344,25,730.99
4.8343,3.4,4.7326,4.25,0.60319,1.9693,25,730.99
3.0717,3.4,5.3547,4.25,0.38688,0.30369,25,445.34
5.867,3.4,4.2018,4.25,0.49356,0.35789,25,445.34
3.9748,3.4,4.4702,4.25,1.122,1.2537,25,445.34
5.8765,3.4,1.8329,4.25,1.2025,0.70301,25,445.34
2.3916,3.4,2.9627,4.25,0.41382,1.6312,25,445.34
7.0214,3.4,5.2729,4.25,1.6963,0.86706,25,445.34
2.4229,3.4,1.3798,4.25,1.7286,0.72054,25,445.34
2.9743,3.4,3.0142,4.25,0.3501,1.4213,25,445.34
7.7152,3.4,4.1858,4.25,1.3485,1.8801,25,445.34
6.0401,3.4,5.7519,4.25,1.526,1.6637,25,445.34
4.1523,3.4,1.201,4.25,0.52839,1.5877,25,445.34
2.5264,3.4,3.1166,4.25,1.7848,1.5365,25,445.34
5.1774,3.4,2.5963,4.25,1.4742,1.1012,25,445.34
6.1393,3.4,1.3984,4.25,1.095,1.5323,25,445.34
3.2353,3.4,3.8146,4.25,1.9776,1.1144,25,445.34
4.682,3.4,2.1291,4.25,1.4915,1.7376,25,468.55
1.7752,3.4,5.5887,4.25,0.55141,0.32592,25,468.55
5.0376,3.4,5.0945,4.25,0.95142,1.0577,25,468.55
2.761,3.4,4.2527,4.25,1.8814,0.26536,25,468.55
4.7842,3.4,2.0711,4.25,0.56571,1.5535,25,468.55
3.0915,3.4,0.95007,4.25,0.69057,1.1497,25,468.55
1.6066,3.4,3.1505,4.25,1.6571,1.5376,25,468.55
3.9298,3.4,1.942,4.25,1.9097,0.92352,25,468.55
5.9253,3.4,5.9434,4.25,1.3321,1.049,25,468.55
4.545,3.4,3.8147,4.25,1.7435,1.6086,25,468.55
2.6636,3.4,5.848,4.25,1.1614,0.54429,25,468.55
5.8063,3.4,2.9297,4.25,1.2047,0.69211,25,468.55
1.269,3.4,5.1813,4.25,0.26762,0.94849,25,468.55
7.8314,3.4,5.3384,4.25,1.9768,0.52774,25,468.55
2.536,3.4,2.4822,4.25,1.5364,0.6079,25,468.55
4.9252,3.4,2.309,4.25,1.5574,1.4679,25,468.55
7.2807,3.4,3.8854,4.25,1.9953,1.9455,25,642.11
3.5507,3.4,0.98911,4.25,1.6658,1.0657,25,642.11
4.254,3.4,1.4358,4.25,1.2919,1.8408,25,642.11
4.6082,3.4,1.0638,4.25,0.36143,0.77289,25,642.11
5.8041,3.4,4.1652,4.25,0.76313,1.0166,25,642.11
1.3895,3.4,3.6612,4.25,1.8732,0.30702,25,642.11
3.333,3.4,1.153,4.25,0.36556,0.54067,25,642.11
4.5078,3.4,3.3405,4.25,1.6544,1.5582,25,642.11
7.325,3.4,5.5449,4.25,0.53882,0.47305,25,642.11
5.5888,3.4,5.5579,4.25,0.50217,0.71362,25,642.11
1.3455,3.4,5.0498,4.25,1.3554,0.90468,25,642.11
6.2796,3.4,1.5035,4.25,0.50053,1.8414,25,642.11
4.5671,3.4,1.4559,4.25,1.85,0.32257,25,642.11
1.8688,3.4,4.8515,4.25,0.68265,0.94724,25,642.11
5.5605,3.4,5.8428,4.25,1.9223,0.70929,25,642.11
3.1791,3.4,4.8257,4.25,0.91553,0.69675,25,642.11
4.3489,3.4,2.1174,4.25,1.856,0.48645,25,775.29
1.5078,3.4,5.5748,4.25,1.4807,0.40774,25,775.29
7.081,3.4,5.0708,4.25,1.0931,1.52,25,775.29
2.9621,3.4,1.2376,4.25,0.26826,1.3668,25,775.29
1.6773,3.4,4.1116,4.25,0.95546,0.38071,25,775.29
5.2186,3.4,4.5103,4.25,1.48,1.9018,25,775.29
6.7261,3.4,1.7502,4.25,1.7573,1.1519,25,775.29
5.7385,3.4,3.9514,4.25,1.7355,0.9206,25,775.29
1.71,3.4,3.4406,4.25,1.762,1.5134,25,775.29
3.5709,3.4,3.4672,4.25,1.7446,0.46368,25,775.29
7.9644,3.4,0.89613,4.25,1.3548,1.0394,25,775.29
4.5966,3.4,3.9791,4.25,1.4626,1.944,25,775.29
6.4557,3.4,2.417,4.25,1.0147,0.90605,25,775.29
4.4601,3.4,4.6985,4.25,1.6378,1.2968,25,775.29
6.6941,3.4,3.7851,4.25,0.27925,1.8083,25,775.29
