Max Stress,Compliance
0.72049,53.987
0.80805,55.09
0.69559,9.5852
0.64762,6.7478
0.65735,10.632
0.68206,26.322
0.73944,19.218
0.66489,66.054
0.63792,6.093
0.78597,46.122
0.70258,8.0001
0.70398,65.557
0.65009,9.6785
0.70442,37.582
0.67658,67.643
0.84578,25.221
0.62584,6.0943
0.82392,17.696
0.78793,37.482
0.74981,36.426
0.84213,20.126
0.7076,64.949
0.62584,59.634
0.69559,68
0.73672,36.681
0.67491,67.008
0.63895,6.0651
0.78092,48.283
0.68738,58.6
0.66069,9.7463
0.66927,64.666
0.80964,52.096
0.74232,60.172
0.81354,45.282
0.72269,61.762
0.672,21.57
0.72824,9.4688
0.81422,19.901
0.79466,48.574
0.61941,64.26
0.78977,13.899
0.88606,34.245
0.72933,61.395
0.76441,50.752
0.65611,68.079
0.65598,7.1436
0.76853,53.898
0.54813,49.454
0.68625,7.6057
0.86633,32.55
0.80567,22.774
0.59039,40.513
0.72658,61.504
0.63559,6.1179
0.6633,62.713
0.71322,62.261
0.66301,11.582
0.74306,20.595
0.78312,34.243
0.79822,49.505
0.7689,51.237
0.56128,51.851
0.71113,12.856
0.66776,16.389
0.70824,66.7
0.68053,31.1
0.66114,65.123
0.69122,6.2671
0.68637,44.383
0.68878,42.247
0.67617,66.11
0.64413,6.1874
0.60189,37.783
0.71783,37.572
0.67448,6.1637
0.65459,65.957
0.69932,64.067
0.86671,29.13
0.79279,55.453
0.67869,7.3664
0.55603,45.274
0.73047,15.098
0.61081,30.16
0.70331,62.2
0.76671,10.121
0.67351,18.289
0.61886,31.154
0.82763,22.786
0.76311,60.78
0.59892,63.134
0.6545,7.5365
0.73151,13.38
0.78093,53.22
0.67863,25.562
0.7245,67.156
0.73266,66.228
0.55024,50.268
0.61374,62.906
0.86772,26.489
0.94925,42.894
0.70715,65.488
0.94877,42.09
0.65964,65.562
0.55544,49.836
0.82612,28.053
0.79397,37.981
0.68182,64.356
0.72288,7.5366
0.79765,17.857
0.71011,67.983
0.73491,19.525
0.78529,49.811
0.72736,63.724
0.69276,68.229
0.77161,43.954
0.62413,5.9852
0.62599,6.05
0.55527,41.635
0.77419,44.227
0.68959,65.166
0.70168,53.572
0.79247,39.29
0.77234,30.984
0.72675,9.9037
0.69223,65.94
0.86331,32.937
0.65383,6.09
0.77369,49.462
0.73496,28.098
0.64603,6.0656
0.66632,64.124
0.66409,16.273
0.67587,9.0689
0.65381,6.0463
0.77501,17.272
0.65069,9.8425
0.811,45.513
0.64783,6.1176
0.6641,13.739
0.76094,13.098
0.70434,63.564
0.8298,26.768
0.76479,54.758
0.56897,41.61
0.59983,58.946
0.68714,6.2152
0.66637,68.708
0.72633,62.028
0.63038,6.1513
0.85462,29.23
0.72829,15.666
0.76516,40.968
0.74397,8.9315
0.58607,36.946
0.56843,39.213
0.69818,44.047
0.68007,25.594
0.6426,6.0543
0.77336,33.505
0.86111,24.827
0.68519,6.2137
0.7469,28.228
0.82021,26.887
0.72541,36.828
0.75844,58.901
0.77563,51.559
0.6571,63.691
0.65341,6.0151
0.71689,9.5989
0.74379,26.276
0.67787,64.718
0.74048,60.841
0.7445,24.859
0.6716,15.879
0.62926,6.0991
0.79127,54.983
0.9125,33.709
0.7025,9.4543
0.82321,23.484
0.7278,7.2973
0.78999,53.046
0.67258,19.835
0.64595,66.338
0.63893,6.0671
0.70813,63.423
0.53939,45.065
0.90493,33.564
0.54618,48.718
0.55133,50.153
0.6939,6.2565
0.73301,62.682
0.62865,6.0868
0.66505,13.162
0.7171,7.9502
0.6795,66.146
0.62807,6.3046
0.57618,41.254
0.79679,47.372
0.77727,49.496
0.72376,58.537
0.69285,6.2665
0.74919,61.221
0.89249,33.644
0.56482,51.856
0.66089,9.8173
0.68536,34.387
0.76649,53.358
0.65956,66.989
0.77333,20.55
0.68,6.1983
0.63702,6.178
0.73101,46.823
0.64393,63.878
0.78233,46.525
0.6651,17.181
0.67019,66.334
0.74283,31.264
0.66496,66.099
0.6743,6.0875
0.65534,10.589
0.77563,57.949
0.65662,64.236
0.69836,57.005
0.66176,14.191
0.6816,7.3625
0.63052,64.08
0.76295,54.469
0.66144,13.365
0.65489,11.21
0.81531,15.795
0.60362,59.68
0.58902,58.273
0.92613,40.184
0.78036,38.24
0.79633,12.977
0.78193,52.269
0.7034,60.817
0.81831,23.302
0.80922,24.001
0.67786,26.694
0.66429,13.201
0.55323,49.573
0.65403,65.118
0.71625,65.896
0.76589,51.379
0.77206,11.395
0.77378,52.557
0.66379,6.4514
0.65146,6.5579
0.72619,8.4793
0.72434,7.2953
0.78486,37.218
0.63776,6.0167
0.72712,61.352
0.79047,54.265
0.63516,65.52
0.60285,31.461
0.76747,51.255
0.72565,66.192
0.74748,35.59
0.72828,14.528
0.65025,67.126
0.63074,6.0711
0.67043,16.176
0.68336,67.38
0.66993,16.658
0.75406,17.349
0.66719,6.6671
0.62315,63.638
0.69221,6.89
0.81534,18.122
0.76815,65.479
0.7406,29.79
0.93208,41.947
0.78187,43.179
0.81033,44.804
0.62631,5.9998
0.60464,33.568
0.65627,6.0793
0.77316,61.051
0.78816,17.001
0.60622,62.218
0.73604,12.582
0.70436,41.463
0.67182,65.572
0.63995,6.0896
0.65407,6.0158
0.62881,6.056
0.75268,56.204
0.68635,42.913
0.72054,6.4897
0.77644,59.161
0.55386,51.397
0.64124,6.2933
0.69058,6.2153
0.67477,8.0603
0.61367,62.019
0.6522,6.4342
0.76239,12.515
0.77967,13.176
0.69637,6.5858
0.78983,65.707
0.77976,52.073
0.79619,56.02
0.79752,47.27
0.8802,31.999
0.76377,19.607
0.54722,48.584
0.71232,7.4515
0.71794,9.0452
0.63314,6.0965
0.67947,65.236
0.717,66.871
0.75206,8.1864
0.88301,29.604
0.56808,56.893
0.786,19.479
0.7038,57.608
0.79423,43.326
0.84441,25.299
0.73411,13.916
0.7543,57.748
0.70176,64.594
0.74622,59.027
0.85045,24.574
0.69779,64.003
0.66853,14.929
0.57271,38.98
0.69425,66.44
0.66746,14.893
0.72597,13.906
0.68428,65.403
0.68171,6.1716
0.79983,17.143
0.72278,43.966
0.74855,11.197
0.73841,48.491
0.74108,60.661
0.77535,33.735
0.81022,48.455
0.73228,59.138
0.7179,11.895
0.71829,46.484
0.64108,7.3227
0.89768,35.433
0.76535,58.672
0.6603,65.376
0.88779,32.658
0.72127,15.54
0.78213,52.173
0.66696,64.986
0.7684,37.354
0.73557,67.28
0.7319,10.858
0.6512,6.8667
0.7686,18.621
0.74514,25.988
0.83455,26.779
0.80091,18.607
0.75528,54.949
0.68046,6.1184
0.83013,23.671
0.78527,17.143
0.83262,18.305
0.63987,6.5331
0.70083,44.8
0.77078,15.784
0.64928,8.8101
0.6332,6.0514
0.82524,15.917
0.56776,42.463
0.70588,64.992
0.63496,6.1238
0.78708,65.45
0.65671,8.128
0.61155,62.631
0.76079,60.685
0.75654,64.258
0.74671,8.9492
0.78894,33.595
