Position,Angle,Filter Size
5,1.1835,1.3432
-12,2.7498,2.4122
-16,1.3785,1.1151
1,2.955,1.2448
5,2.8471,1.8958
-19,2.3724,1.3283
-1,0.53746,1.8794
-16,0.20072,1.3318
5,0.053837,2.3448
-2,2.5697,1.3989
9,0.32855,1.3713
15,1.535,1.5266
15,2.9508,1.3354
17,0.95631,1.9579
16,3.0401,1.8769
6,0.89366,1.8152
-17,3.1265,2.171
16,0.9617,2.1208
-17,0.69924,1.6448
-17,0.67082,2.4772
-18,2.239,1.7701
-2,0.21071,2.3457
-17,1.8341,1.8023
19,1.6748,1.6488
-1,0.83837,1.1814
-11,1.6493,2.3622
-12,1.5307,1.8668
-7,0.98681,1.2799
7,1.286,1.613
-15,2.742,1.552
-8,3.14,1.2576
18,0.4131,2.0995
-8,2.9144,1.3245
8,0.57951,2.3345
-12,0.37742,1.936
17,2.7099,1.1465
-2,1.2761,1.584
-2,2.1307,1.8196
12,0.46685,1.415
9,1.8858,2.3239
10,1.0771,1.6408
2,0.77246,1.5107
0,2.8792,1.7075
-20,0.69314,1.5093
-18,0.17347,1.9186
-17,2.8377,1.7936
-4,0.48724,2.0038
15,2.2526,1.8932
10,1.7414,1.9567
-2,0.83357,1.8447
6,2.1161,2.3652
15,2.4034,1.8474
16,2.7022,2.0548
3,3.064,1.6751
7,1.45,1.2238
-3,1.3516,1.4125
-9,2.723,1.2919
17,0.68329,1.6379
-4,0.82412,1.8889
8,0.48167,1.5577
-10,0.58913,1.8902
-1,2.0651,1.6086
-7,0.36077,1.9333
5,2.7143,2.0895
-15,1.5738,1.6316
17,2.5693,2.0902
13,1.7833,1.3095
17,0.27377,1.1802
9,1.0213,1.6038
11,1.01,1.2221
6,0.021445,2.0394
-15,3.0016,1.4182
15,2.4544,2.3796
9,0.88982,2.4894
0,1.4338,2.1901
-3,1.5827,1.9539
4,2.9311,1.9104
12,0.80047,2.3697
-16,2.7602,2.3915
-3,0.22312,1.6284
9,2.2565,1.3926
-20,1.2794,1.454
-1,2.4227,1.2327
-10,0.2835,1.2045
14,1.1491,1.1959
-5,2.599,1.2789
13,2.5296,1.674
-2,2.1792,1.7729
8,0.25996,2.186
19,2.0597,2.4211
-17,0.12211,2.2389
15,0.5237,2.0906
2,0.45499,1.9582
9,2.5844,1.875
-17,1.5068,1.5789
-9,1.3681,2.2921
9,2.1762,1.6844
11,1.9186,2.0151
16,0.81147,2.0809
18,0.53949,1.5843
13,1.4581,2.3175
-16,2.5884,1.2914
11,1.7205,1.4265
-1,2.0877,1.271
-8,0.96072,2.369
0,0.72542,1.4659
9,1.4622,1.8828
-6,1.8486,1.3967
4,1.0396,2.4382
-11,1.5136,2.2967
-5,0.50848,2.425
0,0.52522,1.5599
0,0.24292,2.3674
-18,0.07333,1.9659
18,2.3674,1.2215
17,0.0036715,1.2025
2,1.5778,1.8208
-19,2.1459,1.669
12,2.4224,1.4209
18,2.8428,1.3565
11,1.1854,1.9591
-13,0.77733,1.2682
-12,0.93125,1.3932
-4,1.279,2.238
6,2.9345,2.3519
4,2.2977,1.9286
8,1.6507,2.0772
6,2.5788,1.2247
17,0.80817,1.8402
1,0.083755,2.1293
5,1.4176,2.1236
11,2.7664,2.3285
-13,0.20768,2.3903
-16,1.6504,1.4242
-8,1.1351,1.8953
13,2.9312,1.9863
-10,2.5866,2.1383
13,0.091691,2.4963
7,2.7846,1.8431
2,1.9655,1.3241
2,2.9361,1.7582
-6,0.95643,1.9039
4,2.6768,1.747
3,2.2803,1.986
-3,1.8747,1.3021
-8,1.7438,2.1749
19,1.849,2.2825
-18,0.46234,2.2
-5,3.0969,2.4251
0,2.2719,1.7607
-1,0.46741,2.1119
-13,0.78239,2.283
8,1.2264,1.3916
1,2.3383,1.8433
-13,2.2269,2.2107
3,0.95322,2.4118
-5,2.4728,1.3172
-4,1.5212,1.6011
10,2.2582,1.7622
18,0.82707,2.2198
