max_field,avg_field,scattering,extinction,absorption
10.893,2.7951,2.0932e-16,6.1773e-16,4.0841e-16
8.3822,2.0465,4.744e-17,1.632e-16,1.1576e-16
4.0917,1.9225,6.3038e-17,1.4403e-16,8.0987e-17
19.847,2.9642,2.4115e-16,8.9652e-16,6.5536e-16
5.9508,2.1417,1.5966e-16,3.2114e-16,1.6148e-16
17.361,2.6811,2.7148e-15,3.8123e-15,1.0975e-15
8.7927,1.9924,2.0467e-17,7.3537e-17,5.3069e-17
5.8202,2.3271,2.0797e-16,4.2021e-16,2.1224e-16
3.6789,1.8571,2.0664e-17,6.3644e-17,4.298e-17
15.916,3.791,5.0463e-15,7.3503e-15,2.3041e-15
5.2085,2.1725,1.5072e-16,3.0608e-16,1.5536e-16
22.222,1.9983,3.1184e-16,6.2899e-16,3.1715e-16
5.2887,2.1005,9.6634e-18,5.2537e-17,4.2873e-17
4.9071,1.7146,2.231e-18,1.4765e-17,1.2534e-17
4.3175,1.6349,2.9107e-17,7.3651e-17,4.4545e-17
10.058,2.0424,1.3438e-16,2.874e-16,1.5303e-16
11.841,1.7452,2.4876e-17,7.2571e-17,4.7696e-17
7.1444,1.5911,6.5273e-18,2.406e-17,1.7532e-17
9.1075,1.6847,2.1018e-17,4.9143e-17,2.8124e-17
4.5164,1.7215,5.9101e-18,2.0348e-17,1.4438e-17
13.994,1.9885,9.189e-17,2.6291e-16,1.7102e-16
6.3124,1.4374,1.6067e-18,1.4975e-17,1.3369e-17
44.084,5.4623,6.428e-16,3.1924e-15,2.5496e-15
5.9124,1.9955,5.1379e-17,1.162e-16,6.4826e-17
12.118,2.7078,8.8906e-17,2.4381e-16,1.549e-16
6.7333,2.0365,1.5746e-16,2.7317e-16,1.1571e-16
8.9894,1.8652,1.1043e-16,1.9229e-16,8.1857e-17
6.8148,1.8222,3.3253e-17,7.7624e-17,4.4371e-17
12.938,5.0168,7.2282e-16,3.4387e-15,2.7159e-15
11.947,2.4175,6.8634e-16,1.0871e-15,4.0071e-16
4.6921,1.9313,5.4127e-17,1.1118e-16,5.7053e-17
6.6948,1.4807,1.7027e-17,4.0062e-17,2.3035e-17
3.4702,1.4883,2.4757e-19,6.2617e-17,6.237e-17
4.3658,1.536,1.5641e-18,1.9244e-16,1.9088e-16
4.2283,1.9489,5.3468e-16,5.2725e-15,4.7378e-15
4.5808,1.8245,9.1648e-17,2.0982e-15,2.0065e-15
4.4931,1.8497,1.8143e-16,2.8503e-15,2.6689e-15
6.8315,1.688,5.1918e-16,6.792e-15,6.2728e-15
4.4689,1.8237,9.0188e-17,1.7448e-15,1.6546e-15
3.4832,1.5779,3.5332e-17,9.1085e-16,8.7551e-16
6.6064,1.848,2.8184e-15,1.6595e-14,1.3777e-14
6.2329,1.7496,4.5017e-15,2.1301e-14,1.6799e-14
3.051,1.5285,5.5863e-17,1.0109e-15,9.5501e-16
5.8461,1.9287,1.8846e-15,1.1386e-14,9.5013e-15
5.0314,1.9616,5.475e-16,5.605e-15,5.0575e-15
8.0405,1.9105,4.0562e-16,5.1283e-15,4.7227e-15
8.4076,1.9247,1.7254e-15,1.2602e-14,1.0876e-14
5.9559,1.8555,5.745e-16,5.3667e-15,4.7922e-15
2.2843,1.5077,6.1272e-19,9.4852e-17,9.4239e-17
7.2311,1.8857,1.726e-16,3.092e-15,2.9194e-15
6.1519,1.8532,5.9988e-17,2.4425e-15,2.3825e-15
5.0645,1.5825,4.3218e-17,1.0392e-15,9.9598e-16
3.3468,1.8228,8.0485e-17,1.7003e-15,1.6198e-15
4.5115,1.9734,1.5188e-15,1.0959e-14,9.44e-15
4.2289,2.0524,4.2626e-16,5.9578e-15,5.5316e-15
6.5259,1.9206,7.2831e-16,8.1714e-15,7.4431e-15
6.184,1.9526,2.5571e-15,1.5905e-14,1.3348e-14
6.1134,1.8807,5.0168e-17,1.5544e-15,1.5042e-15
4.8994,1.8794,9.7991e-17,2.5695e-15,2.4715e-15
4.831,1.528,8.1715e-20,4.4115e-17,4.4033e-17
5.0816,1.3251,1.6632e-16,4.3112e-15,4.1449e-15
5.1968,1.8906,7.0723e-17,1.8268e-15,1.756e-15
6.3512,1.9391,6.4394e-16,6.2959e-15,5.652e-15
20.409,4.2065,1.5146e-14,2.0772e-14,5.6262e-15
4.6892,2.1151,7.7884e-17,2.1188e-16,1.3399e-16
4.3054,1.7334,8.6118e-17,1.905e-16,1.0438e-16
3.6756,1.8019,7.2111e-18,3.7164e-17,2.9953e-17
7.2994,1.9288,3.7243e-17,1.3817e-16,1.0092e-16
6.8632,2.3367,6.8206e-17,2.255e-16,1.573e-16
5.8091,1.8736,4.3794e-18,3.2319e-17,2.7939e-17
9.0125,2.5724,9.6738e-16,1.6245e-15,6.5711e-16
6.0911,1.5558,8.4031e-19,1.1156e-17,1.0316e-17
8.0845,1.6577,3.2194e-18,3.5822e-17,3.2603e-17
4.7385,2.0725,2.1349e-16,4.2609e-16,2.126e-16
209.17,10.461,5.09e-15,2.2061e-14,1.6971e-14
19.561,5.6434,3.4891e-16,2.0257e-15,1.6768e-15
3.173,1.7641,1.0769e-17,4.5228e-17,3.4459e-17
17.298,4.6001,7.0415e-15,1.5955e-14,8.9138e-15
7.2936,2.0321,2.098e-17,9.2223e-17,7.1243e-17
8.8833,2.6605,8.0893e-17,2.2356e-16,1.4267e-16
4.4864,1.8675,2.5648e-17,6.0901e-17,3.5253e-17
9.2722,2.2098,2.9107e-16,4.7906e-16,1.8799e-16
7.265,1.5789,4.6515e-18,1.7101e-17,1.245e-17
3.0852,1.6022,1.5701e-18,7.5121e-18,5.942e-18
13.111,2.1678,9.4163e-16,1.2869e-15,3.4529e-16
6.3389,1.8028,5.031e-17,9.7447e-17,4.7137e-17
9.6588,2.297,2.711e-16,4.9562e-16,2.2452e-16
5.1299,1.95,3.2087e-16,4.5713e-16,1.3626e-16
21.709,2.6417,6.546e-17,2.0733e-16,1.4187e-16
4.3859,1.7349,1.7266e-17,4.1688e-17,2.4422e-17
8.1751,1.9001,3.5763e-16,5.0028e-16,1.4265e-16
4.6336,1.6872,1.2873e-17,3.3913e-17,2.104e-17
8.6444,2.5288,7.6905e-16,1.1104e-15,3.4133e-16
85.551,18.114,8.9302e-15,3.677e-14,2.784e-14
8.2113,1.4471,1.4036e-18,8.5385e-18,7.1349e-18
25.477,3.9077,1.8017e-14,2.2394e-14,4.3769e-15
5.2109,1.4658,9.1265e-19,5.9059e-18,4.9932e-18
6.6718,1.5269,3.6842e-18,1.2594e-17,8.9096e-18
3.5364,1.7251,1.6099e-17,3.8831e-17,2.2732e-17
6.9354,1.834,1.312e-17,3.8398e-17,2.5278e-17
3.8047,1.5603,7.6245e-19,4.9136e-18,4.1511e-18
5.1977,1.4663,5.5388e-19,5.3192e-18,4.7653e-18
3.315,1.6759,5.8783e-18,1.8798e-17,1.292e-17
14.705,3.9572,4.4941e-15,6.1224e-15,1.6283e-15
3.1015,1.6462,4.6402e-18,1.5515e-17,1.0875e-17
6.0912,1.6636,9.5988e-18,2.813e-17,1.8531e-17
6.6162,1.8518,8.1891e-18,2.9197e-17,2.1008e-17
4.2628,1.3323,2.2953e-20,9.2953e-19,9.0658e-19
5.517,1.9514,2.6545e-16,3.9264e-16,1.2719e-16
